gene_name,FC,pvalue
192,2.0209985203728,1.14512382670198e-11
368,2.13905371720445,6.18911362488904e-38
844,11.4689442450863,7.37618090061117e-259
1037,2.04746909777703,4.25061234980715e-13
1189,2.44336437141425,5.95336137839534e-26
1266,2.036342958221,7.6589215700241e-08
1272,2.0581432345124,5.30663720767879e-09
1336,2.08175653039663,8.04732825925809e-57
1516,2.16390065040531,1.00021528124859e-16
2436,2.05879568840121,1.20540305641662e-41
4720,2.16171460747521,1.52647231727092e-15
4893,2.02377685698362,3.00148928714925e-26
5342,2.92784281483328,4.24873575894056e-30
5354,2.01498870499763,2.64337060680108e-05
5595,2.07830880748794,3.8951357937684e-18
6428,2.13006907376915,1.10973685042471e-13
6475,2.2826350755357,1.56803016316253e-12
8365,2.24446854324601,5.21590443583476e-09
9471,2.10234958722936,9.43948120063359e-08
9671,2.01294474423736,7.03109668390429e-23
10267,2.02048276400004,3.76590116786142e-10
10344,2.08245270677849,1.889030708948e-05
10562,2.40276752107995,3.46079840302394e-109
10769,2.03782026892926,4.32593726562249e-22
12365,2.03895741613754,2.03191022156056e-10
12578,2.30716258584843,1.7105745432334e-11
12691,2.00411985039138,7.53009750489004e-05
12893,2.07274764806012,1.9375338799971e-07
14684,2.11767541313331,4.22274930441558e-25
15304,2.04400997394769,4.37660805843614e-10
15332,2.14115615674035,2.43816486867594e-22
